id,hrs1,prestg80,sphrs1,educ,paeduc,sex,happy,hapmar,health,happy7,satfam7
1923,44,45,,20,,MALE,,,GOOD,,
1924,,43,,10,8,FEMALE,VERY HAPPY,,GOOD,,
1925,55,75,,19,,MALE,,,EXCELLENT,,
1926,48,54,40,12,,MALE,,,EXCELLENT,,
1927,36,46,85,14,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
1928,,74,,16,16,MALE,VERY HAPPY,,,,
1929,,,,12,12,FEMALE,PRETTY HAPPY,,,,
1930,,39,,16,8,FEMALE,VERY HAPPY,,EXCELLENT,,
1931,40,52,54,16,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1932,46,39,,12,,MALE,PRETTY HAPPY,,GOOD,,
1933,40,39,,12,,FEMALE,,,GOOD,,
1934,48,40,,6,6,MALE,PRETTY HAPPY,,,,
1935,40,35,,12,12,MALE,VERY HAPPY,,GOOD,,
1936,,30,,10,,MALE,,,EXCELLENT,,
1937,40,36,,6,0,MALE,PRETTY HAPPY,,FAIR,,
1938,50,66,50,14,,FEMALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1939,40,54,40,14,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
1940,24,23,,11,,MALE,PRETTY HAPPY,VERY HAPPY,,,
1941,35,51,10,18,18,MALE,PRETTY HAPPY,VERY HAPPY,,,
1942,45,75,,19,17,MALE,NOT TOO HAPPY,,GOOD,,
1943,40,34,,13,,MALE,PRETTY HAPPY,,EXCELLENT,,
1944,,,,12,,MALE,,,FAIR,,
1945,,66,,15,,FEMALE,VERY HAPPY,,,,
1946,,33,,12,12,MALE,NOT TOO HAPPY,,FAIR,,
1947,,61,,14,12,FEMALE,PRETTY HAPPY,,,,
1948,,36,,12,12,FEMALE,NOT TOO HAPPY,,GOOD,,
1949,37,46,50,11,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1950,,36,48,12,,FEMALE,,,FAIR,,
1951,,42,,12,,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
1952,,,45,12,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1953,,64,40,16,10,MALE,PRETTY HAPPY,VERY HAPPY,,,
1954,,49,,12,,MALE,,,EXCELLENT,,
1955,,53,,18,10,MALE,PRETTY HAPPY,,POOR,,
1956,40,35,40,16,,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1957,45,47,,12,12,FEMALE,PRETTY HAPPY,,,,
1958,,36,,7,,FEMALE,NOT TOO HAPPY,,,,
1959,40,42,,12,,FEMALE,,,GOOD,,
1960,40,51,60,12,,FEMALE,,,EXCELLENT,,
1961,40,39,,12,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1962,40,37,,14,12,MALE,PRETTY HAPPY,,,,
1963,,31,,13,12,FEMALE,PRETTY HAPPY,,,,
1964,45,51,40,16,,MALE,,,EXCELLENT,,
1965,,45,,12,,FEMALE,,,GOOD,,
1966,,35,,12,12,FEMALE,NOT TOO HAPPY,NOT TOO HAPPY,FAIR,,
1967,,47,,13,,FEMALE,,,GOOD,,
1968,48,30,40,14,9,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1969,,65,50,16,18,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1970,37,66,,16,12,FEMALE,VERY HAPPY,PRETTY HAPPY,EXCELLENT,,
1971,,27,,12,,MALE,VERY HAPPY,,EXCELLENT,,
1972,45,42,40,16,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1973,40,51,,13,,FEMALE,,,EXCELLENT,,
1974,48,41,,11,,FEMALE,,,FAIR,,
1975,40,43,52,14,12,FEMALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
1976,,36,,9,14,FEMALE,PRETTY HAPPY,VERY HAPPY,POOR,,
1977,,36,50,12,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
1978,,41,,9,,MALE,,,GOOD,,
1979,65,86,40,20,20,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1980,40,33,40,14,,MALE,,,GOOD,,
1981,50,44,57,11,19,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1982,40,51,40,12,,MALE,,,GOOD,,
1983,40,64,,16,6,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
1984,60,63,56,13,12,MALE,VERY HAPPY,VERY HAPPY,FAIR,,
1985,48,48,,14,,FEMALE,PRETTY HAPPY,,GOOD,,
1986,40,68,,12,3,FEMALE,PRETTY HAPPY,,EXCELLENT,,
1987,38,52,,18,14,FEMALE,PRETTY HAPPY,,,,
1988,80,30,32,12,3,MALE,PRETTY HAPPY,VERY HAPPY,FAIR,,
1989,20,32,,20,,MALE,VERY HAPPY,,EXCELLENT,,
1990,,47,40,12,,FEMALE,NOT TOO HAPPY,NOT TOO HAPPY,,,
1991,40,36,45,15,16,FEMALE,VERY HAPPY,VERY HAPPY,FAIR,,
1992,,46,40,12,8,FEMALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
1993,40,51,32,12,13,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
1994,,35,,12,,MALE,,,GOOD,,
1995,44,39,40,13,,MALE,,,GOOD,,
1996,48,33,32,12,12,MALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
1997,65,64,45,16,,FEMALE,,,EXCELLENT,,
1998,,39,40,17,12,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
1999,50,59,,12,16,MALE,PRETTY HAPPY,VERY HAPPY,,,
2000,,32,,14,,FEMALE,,,GOOD,,
2001,50,74,25,20,,MALE,,,EXCELLENT,,
2002,46,51,40,13,16,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2003,52,51,,12,,FEMALE,,,GOOD,,
2004,40,60,,15,,FEMALE,PRETTY HAPPY,,,,
2005,,51,,16,8,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
2006,,44,,16,,MALE,,,EXCELLENT,,
2007,45,61,52,12,12,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2008,60,64,,20,12,FEMALE,PRETTY HAPPY,,EXCELLENT,,
2009,45,86,50,20,,MALE,,,EXCELLENT,,
2010,25,75,,19,13,MALE,NOT TOO HAPPY,,EXCELLENT,,
2011,60,44,,12,,MALE,PRETTY HAPPY,VERY HAPPY,,,
2012,5,61,50,16,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
2013,,25,,8,,MALE,PRETTY HAPPY,,GOOD,,
2014,,46,,12,,FEMALE,PRETTY HAPPY,,EXCELLENT,,
2015,,64,,20,,FEMALE,,,GOOD,,
2016,60,30,,12,12,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
2017,52,31,,12,,FEMALE,,,EXCELLENT,,
2018,,32,,12,12,FEMALE,PRETTY HAPPY,,,,
2019,,38,,16,8,FEMALE,VERY HAPPY,VERY HAPPY,,,
2020,45,65,,16,,FEMALE,,,EXCELLENT,,
2021,,46,25,12,7,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2022,20,39,,12,,MALE,,,GOOD,,
2023,,20,,8,,FEMALE,,,GOOD,,
2024,,,,12,,MALE,,,EXCELLENT,,
2025,60,47,,15,,FEMALE,PRETTY HAPPY,,GOOD,,
2026,40,40,,11,,MALE,,,GOOD,,
2027,,35,,8,,FEMALE,,,GOOD,,
2028,57,44,65,15,12,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2029,,31,,14,,FEMALE,PRETTY HAPPY,,FAIR,,
2030,55,47,40,10,,MALE,,,FAIR,,
2031,40,20,,0,,FEMALE,PRETTY HAPPY,,,,
2032,15,32,,12,13,FEMALE,PRETTY HAPPY,,,,
2033,8,25,,12,12,MALE,NOT TOO HAPPY,,GOOD,,
2034,42,44,,12,12,MALE,PRETTY HAPPY,,EXCELLENT,,
2035,,29,,10,3,FEMALE,PRETTY HAPPY,,GOOD,,
2036,40,43,,12,14,FEMALE,PRETTY HAPPY,,,,
2037,45,50,,16,,FEMALE,,,GOOD,,
2038,,36,,8,,MALE,,,GOOD,,
2039,,,,9,,FEMALE,PRETTY HAPPY,,,,
2040,,42,,11,12,MALE,PRETTY HAPPY,,POOR,,
2041,,52,,14,,MALE,NOT TOO HAPPY,,,,
2042,,20,,8,8,FEMALE,PRETTY HAPPY,,,,
2043,,64,,17,,FEMALE,,,GOOD,,
2044,53,25,,2,,MALE,,,FAIR,,
2045,22,19,,10,,MALE,VERY HAPPY,,,,
2046,60,60,,14,12,FEMALE,PRETTY HAPPY,,,,
2047,70,44,40,13,3,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
2048,65,75,,20,16,FEMALE,VERY HAPPY,,GOOD,,
2049,,46,,10,3,FEMALE,PRETTY HAPPY,,GOOD,,
2050,60,49,,14,14,MALE,PRETTY HAPPY,,GOOD,,
2051,55,72,,18,16,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
2052,45,51,24,16,,MALE,,,GOOD,,
2053,43,71,44,16,,MALE,,,EXCELLENT,,
2054,38,40,,14,,MALE,NOT TOO HAPPY,,GOOD,,
2055,,74,,18,16,MALE,PRETTY HAPPY,,GOOD,,
2056,15,28,,13,,MALE,,,EXCELLENT,,
2057,30,25,,15,,FEMALE,,,EXCELLENT,,
2058,,47,,12,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
2059,40,74,8,16,16,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2060,,36,40,17,,FEMALE,,,GOOD,,
2061,,63,40,16,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
2062,55,54,12,12,16,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2063,,49,50,14,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2064,45,59,5,18,,MALE,,,EXCELLENT,,
2065,45,53,39,17,12,MALE,VERY HAPPY,VERY HAPPY,,,
2066,42,47,,13,10,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2067,50,27,,13,9,FEMALE,PRETTY HAPPY,,GOOD,,
2068,32,60,,14,6,FEMALE,PRETTY HAPPY,,,,
2069,36,60,,12,,FEMALE,,,GOOD,,
2070,40,32,,12,9,FEMALE,PRETTY HAPPY,,,,
2071,50,42,35,13,14,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
2072,,57,,17,17,FEMALE,PRETTY HAPPY,,GOOD,,
2073,24,66,50,16,,FEMALE,,,EXCELLENT,,
2074,40,74,20,20,20,MALE,PRETTY HAPPY,VERY HAPPY,,,
2075,45,40,40,14,,FEMALE,,,GOOD,,
2076,37,57,40,16,,FEMALE,,,GOOD,,
2077,45,65,,16,13,MALE,VERY HAPPY,,EXCELLENT,,
2078,,54,,12,,FEMALE,,,FAIR,,
2079,30,35,48,12,,FEMALE,,,GOOD,,
2080,,64,,16,14,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
2081,40,45,,16,,FEMALE,VERY HAPPY,,EXCELLENT,,
2082,45,66,,15,,FEMALE,,,GOOD,,
2083,,24,,13,,MALE,PRETTY HAPPY,VERY HAPPY,,,
2084,7,25,40,12,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2085,32,23,45,12,16,FEMALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
2086,,35,37,13,13,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2087,,64,,15,,MALE,PRETTY HAPPY,VERY HAPPY,,,
2088,24,60,,12,14,MALE,VERY HAPPY,VERY HAPPY,,,
2089,45,47,45,17,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
2090,40,46,40,12,,FEMALE,,,GOOD,,
2091,,39,45,12,12,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2092,42,30,,13,,MALE,,,GOOD,,
2093,37,41,24,14,,MALE,,,GOOD,,
2094,50,29,40,12,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2095,12,39,40,16,16,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2096,40,49,,17,12,FEMALE,VERY HAPPY,,GOOD,,
2097,40,51,,16,18,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2098,55,51,50,17,18,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
2099,50,44,40,15,12,FEMALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
2100,,30,40,12,14,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
2101,,71,,14,12,MALE,PRETTY HAPPY,,EXCELLENT,,
2102,43,44,35,12,,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2103,55,47,,13,14,MALE,NOT TOO HAPPY,,GOOD,,
2104,45,47,40,20,18,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
2105,,49,,12,8,FEMALE,VERY HAPPY,,GOOD,,
2106,,51,,12,12,MALE,PRETTY HAPPY,,GOOD,,
2107,,74,,19,12,MALE,PRETTY HAPPY,,,,
2108,,47,40,16,20,FEMALE,VERY HAPPY,VERY HAPPY,,,
2109,,28,,12,12,FEMALE,PRETTY HAPPY,,GOOD,,
2110,38,61,,20,,FEMALE,VERY HAPPY,,GOOD,,
2111,,51,,16,12,MALE,PRETTY HAPPY,,,,
2112,,43,40,13,,FEMALE,,,EXCELLENT,,
2113,,66,,12,,FEMALE,,,FAIR,,
2114,,17,,8,,FEMALE,NOT TOO HAPPY,,GOOD,,
2115,,30,40,16,,FEMALE,,,GOOD,,
2116,53,33,,16,,FEMALE,NOT TOO HAPPY,,,,
2117,,,50,13,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2118,,29,,13,,FEMALE,,,GOOD,,
2119,,64,,16,8,FEMALE,NOT TOO HAPPY,NOT TOO HAPPY,GOOD,,
2120,25,42,30,12,14,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2121,52,39,46,12,12,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2122,48,38,36,12,5,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
2123,30,,,13,,MALE,,,GOOD,,
2124,45,74,3,16,16,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2125,45,47,40,16,16,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2126,40,47,60,14,16,FEMALE,VERY HAPPY,VERY HAPPY,FAIR,,
2127,,43,,12,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
2128,10,28,,12,5,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
2129,,22,,10,12,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2130,50,49,32,18,14,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
2131,45,30,40,18,12,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2132,65,60,,16,18,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2133,40,24,,13,,MALE,PRETTY HAPPY,,,,
2134,50,66,,18,,FEMALE,,,EXCELLENT,,
2135,15,75,,19,16,FEMALE,NOT TOO HAPPY,,GOOD,,
2136,44,33,,14,3,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2137,,43,,16,12,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2138,37,22,,14,12,MALE,PRETTY HAPPY,,GOOD,,
2139,,64,40,16,14,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
2140,22,60,,16,,MALE,VERY HAPPY,,EXCELLENT,,
2141,55,35,6,13,12,MALE,PRETTY HAPPY,VERY HAPPY,,,
2142,,51,40,15,,FEMALE,,,GOOD,,
2143,25,33,,12,2,MALE,NOT TOO HAPPY,,FAIR,,
2144,40,24,40,6,0,FEMALE,NOT TOO HAPPY,PRETTY HAPPY,,,
2145,40,74,60,15,16,FEMALE,VERY HAPPY,VERY HAPPY,,,
2146,40,23,40,12,15,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2147,57,47,18,16,14,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
2148,,41,,11,7,MALE,PRETTY HAPPY,VERY HAPPY,,,
2149,,,,12,,FEMALE,PRETTY HAPPY,,,,
2150,50,34,,16,,MALE,,,FAIR,,
2151,42,29,,12,,FEMALE,,,EXCELLENT,,
2152,,31,,14,,FEMALE,,,FAIR,,
2153,40,49,,13,8,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2154,24,42,40,16,8,FEMALE,PRETTY HAPPY,PRETTY HAPPY,,,
2155,,49,50,16,16,FEMALE,VERY HAPPY,VERY HAPPY,,,
2156,,30,,13,4,FEMALE,NOT TOO HAPPY,,GOOD,,
2157,,36,,12,14,MALE,NOT TOO HAPPY,,EXCELLENT,,
2158,,47,50,12,16,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2159,50,30,,14,12,MALE,PRETTY HAPPY,VERY HAPPY,EXCELLENT,,
2160,25,20,,11,6,FEMALE,PRETTY HAPPY,VERY HAPPY,FAIR,,
2161,50,66,10,18,8,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2162,25,33,,10,,FEMALE,PRETTY HAPPY,,GOOD,,
2163,,66,,18,,FEMALE,,,EXCELLENT,,
2164,40,46,,16,12,FEMALE,PRETTY HAPPY,,,,
2165,,39,,13,,FEMALE,VERY HAPPY,VERY HAPPY,,,
2166,60,66,65,16,20,FEMALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
2167,,,,11,,FEMALE,,,POOR,,
2168,,66,40,16,12,FEMALE,VERY HAPPY,VERY HAPPY,,,
2169,30,31,40,16,14,FEMALE,PRETTY HAPPY,VERY HAPPY,FAIR,,
2170,50,39,,16,,FEMALE,,,EXCELLENT,,
2171,,30,,12,,FEMALE,,,POOR,,
2172,15,49,,13,16,MALE,PRETTY HAPPY,,FAIR,,
2173,43,27,,19,,MALE,,,EXCELLENT,,
2174,,28,,15,19,FEMALE,VERY HAPPY,,EXCELLENT,,
2175,60,35,,13,16,MALE,VERY HAPPY,,,,
2176,,,,15,16,MALE,NOT TOO HAPPY,,GOOD,,
2177,,47,,10,11,MALE,PRETTY HAPPY,,POOR,,
2178,30,66,,18,6,FEMALE,PRETTY HAPPY,,FAIR,,
2179,40,52,,14,16,FEMALE,NOT TOO HAPPY,,POOR,,
2180,20,46,40,13,,FEMALE,,,EXCELLENT,,
2181,42,24,,13,14,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2182,40,42,,14,,FEMALE,,,FAIR,,
2183,30,40,,8,,MALE,NOT TOO HAPPY,,,,
2184,70,35,,13,12,MALE,PRETTY HAPPY,,GOOD,,
2185,40,36,,12,,FEMALE,,,FAIR,,
2186,10,29,45,17,,FEMALE,,,EXCELLENT,,
2187,40,39,,18,,MALE,,,EXCELLENT,,
2188,45,51,,16,,FEMALE,,,EXCELLENT,,
2189,,51,,20,17,MALE,VERY HAPPY,VERY HAPPY,,,
2190,40,66,,18,,FEMALE,PRETTY HAPPY,,GOOD,,
2191,,42,,14,,FEMALE,PRETTY HAPPY,,GOOD,,
2192,,51,70,12,,FEMALE,VERY HAPPY,VERY HAPPY,FAIR,,
2193,45,42,,14,15,FEMALE,PRETTY HAPPY,,GOOD,,
2194,15,31,,10,,FEMALE,,,FAIR,,
2195,72,54,,16,,MALE,,,GOOD,,
2196,48,32,,16,16,MALE,PRETTY HAPPY,,,,
2197,28,29,,14,19,MALE,PRETTY HAPPY,,,,
2198,50,43,40,16,12,MALE,NOT TOO HAPPY,PRETTY HAPPY,GOOD,,
2199,40,41,,20,19,FEMALE,NOT TOO HAPPY,,GOOD,,
2200,20,50,,16,,MALE,,,EXCELLENT,,
2201,,42,40,13,,MALE,,,GOOD,,
2202,,46,40,12,2,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2203,,,,11,,FEMALE,PRETTY HAPPY,,GOOD,,
2204,40,42,,12,11,MALE,PRETTY HAPPY,,FAIR,,
2205,40,64,50,18,18,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2206,,30,,12,,MALE,NOT TOO HAPPY,,POOR,,
2207,51,24,12,12,14,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2208,50,64,,16,13,FEMALE,PRETTY HAPPY,,GOOD,,
2209,,,,14,,FEMALE,,,GOOD,,
2210,45,71,,16,16,MALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2211,40,35,50,12,8,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
2212,20,60,,16,,MALE,,,GOOD,,
2213,,74,40,18,16,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
2214,55,40,40,12,,MALE,,,EXCELLENT,,
2215,,49,40,12,6,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2216,40,74,,14,,MALE,,,EXCELLENT,,
2217,40,53,,12,12,MALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2218,42,47,,10,13,MALE,PRETTY HAPPY,,,,
2219,70,41,,16,12,MALE,VERY HAPPY,VERY HAPPY,,,
2220,45,42,50,12,,FEMALE,,,EXCELLENT,,
2221,,51,,12,16,MALE,PRETTY HAPPY,,FAIR,,
2222,40,62,40,12,,MALE,,,FAIR,,
2223,28,32,,12,10,FEMALE,PRETTY HAPPY,,GOOD,,
2224,42,30,,12,,MALE,,,GOOD,,
2225,32,39,,13,12,FEMALE,PRETTY HAPPY,,GOOD,,
2226,26,66,,16,,FEMALE,,,EXCELLENT,,
2227,,20,20,10,,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2228,,51,54,14,,FEMALE,,,GOOD,,
2229,40,45,44,12,,MALE,PRETTY HAPPY,PRETTY HAPPY,,,
2230,,33,,13,12,MALE,VERY HAPPY,VERY HAPPY,,,
2231,,40,50,16,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2232,48,74,45,14,,MALE,,,EXCELLENT,,
2233,60,51,50,16,12,FEMALE,VERY HAPPY,VERY HAPPY,EXCELLENT,,
2234,50,38,,19,16,FEMALE,PRETTY HAPPY,,EXCELLENT,,
2235,16,63,,18,16,MALE,PRETTY HAPPY,,GOOD,,
2236,40,29,,12,,MALE,,,EXCELLENT,,
2237,24,27,,10,,FEMALE,,,GOOD,,
2238,34,17,,9,6,MALE,NOT TOO HAPPY,VERY HAPPY,FAIR,,
2239,50,32,,14,,MALE,PRETTY HAPPY,,FAIR,,
2240,40,56,,18,10,MALE,VERY HAPPY,,EXCELLENT,,
2241,13,48,,15,,MALE,PRETTY HAPPY,,,,
2242,,,40,9,,FEMALE,,,FAIR,,
2243,35,31,,12,,FEMALE,,,GOOD,,
2244,35,23,,12,12,FEMALE,PRETTY HAPPY,,EXCELLENT,,
2245,,32,,12,,FEMALE,,,EXCELLENT,,
2246,40,52,40,16,,FEMALE,,,EXCELLENT,,
2247,40,40,,13,8,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2248,,40,,12,14,MALE,NOT TOO HAPPY,,,,
2249,62,44,39,14,12,MALE,VERY HAPPY,VERY HAPPY,GOOD,,
2250,48,30,24,12,,MALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2251,30,31,,9,,FEMALE,VERY HAPPY,PRETTY HAPPY,GOOD,,
2252,,34,,16,8,MALE,PRETTY HAPPY,,FAIR,,
2253,40,57,,15,12,FEMALE,PRETTY HAPPY,,,,
2254,40,36,,11,,MALE,PRETTY HAPPY,,EXCELLENT,,
2255,45,47,,16,2,MALE,PRETTY HAPPY,PRETTY HAPPY,EXCELLENT,,
2256,40,44,,12,11,MALE,PRETTY HAPPY,,,,
2257,40,44,,12,10,MALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2258,,51,,16,,FEMALE,,,EXCELLENT,,
2259,,63,,16,16,MALE,PRETTY HAPPY,,FAIR,,
2260,40,34,50,12,,FEMALE,,,GOOD,,
2261,55,43,,16,14,MALE,PRETTY HAPPY,,EXCELLENT,,
2262,40,86,,20,16,MALE,PRETTY HAPPY,,GOOD,,
2263,,46,,16,,FEMALE,,,FAIR,,
2264,60,63,,19,16,MALE,PRETTY HAPPY,,,,
2265,,32,50,14,12,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
2266,8,60,45,16,,FEMALE,,,EXCELLENT,,
2267,,66,,13,,FEMALE,,,POOR,,
2268,,44,,16,,MALE,,,GOOD,,
2269,40,61,,16,14,MALE,PRETTY HAPPY,,EXCELLENT,,
2270,,75,,19,,MALE,,,POOR,,
2271,55,51,55,16,16,FEMALE,PRETTY HAPPY,VERY HAPPY,,,
2272,65,74,,20,20,MALE,PRETTY HAPPY,VERY HAPPY,,,
2273,45,48,,16,16,FEMALE,PRETTY HAPPY,,,,
2274,45,64,,16,,FEMALE,,,EXCELLENT,,
2275,40,40,,16,14,FEMALE,PRETTY HAPPY,,GOOD,,
2276,70,43,,14,12,FEMALE,PRETTY HAPPY,,EXCELLENT,,
2277,21,30,50,14,,FEMALE,,,GOOD,,
2278,53,51,,16,13,MALE,NOT TOO HAPPY,,,,
2279,16,66,40,14,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,FAIR,,
2280,,25,,13,10,FEMALE,VERY HAPPY,VERY HAPPY,GOOD,,
2281,18,47,40,14,12,FEMALE,PRETTY HAPPY,NOT TOO HAPPY,GOOD,,
2282,25,28,40,3,,FEMALE,,,GOOD,,
2283,25,21,,14,,MALE,,,GOOD,,
2284,,38,,14,14,FEMALE,PRETTY HAPPY,,GOOD,,
2285,33,17,,11,12,MALE,PRETTY HAPPY,,GOOD,,
2286,20,74,,18,20,MALE,PRETTY HAPPY,,,,
2287,37,31,,12,,FEMALE,VERY HAPPY,VERY HAPPY,,,
2288,43,28,,14,12,FEMALE,PRETTY HAPPY,,,,
2289,,17,,13,,MALE,,,FAIR,,
2290,,32,,12,,MALE,,,GOOD,,
2291,40,36,40,14,15,FEMALE,VERY HAPPY,PRETTY HAPPY,,,
2292,44,51,44,12,,FEMALE,PRETTY HAPPY,PRETTY HAPPY,GOOD,,
2293,,52,,16,16,FEMALE,PRETTY HAPPY,,GOOD,,
2294,,64,,16,,FEMALE,PRETTY HAPPY,,FAIR,,
2295,40,74,,18,,FEMALE,PRETTY HAPPY,,GOOD,,
2296,,,3,13,11,FEMALE,PRETTY HAPPY,VERY HAPPY,POOR,,
2297,,43,50,12,,FEMALE,,,EXCELLENT,,
2298,40,39,,12,8,MALE,PRETTY HAPPY,,GOOD,,
2299,40,31,,15,9,FEMALE,PRETTY HAPPY,PRETTY HAPPY,POOR,,
2300,40,49,,16,,FEMALE,PRETTY HAPPY,,,,
2301,35,46,,18,,FEMALE,,,EXCELLENT,,
2302,,47,,13,12,MALE,PRETTY HAPPY,,GOOD,,
2303,60,36,,12,12,MALE,NOT TOO HAPPY,PRETTY HAPPY,EXCELLENT,,
2304,14,17,,12,,FEMALE,,,GOOD,,
2305,,,,0,,MALE,,,POOR,,
2306,,33,,16,,MALE,,,POOR,,
2307,40,25,,13,,FEMALE,,,FAIR,,
2308,,,,13,5,FEMALE,PRETTY HAPPY,,FAIR,,
2309,37,31,,12,,FEMALE,,,FAIR,,
2310,9,46,,18,12,FEMALE,PRETTY HAPPY,,GOOD,,
2311,40,51,,12,,FEMALE,,,EXCELLENT,,
2312,,30,50,13,16,MALE,PRETTY HAPPY,VERY HAPPY,,,
2313,39,52,,13,,FEMALE,,,GOOD,,
2314,,25,45,11,,FEMALE,,,GOOD,,
2315,40,25,40,17,,FEMALE,PRETTY HAPPY,VERY HAPPY,GOOD,,
2316,,31,,12,8,FEMALE,NOT TOO HAPPY,,POOR,,
2317,42,66,,18,18,FEMALE,PRETTY HAPPY,,,,
